sport,discipline,position,pays,athlète,résultat
athletisme,100m-hommes,Or,USA,Thomas Burke,12.000
athletisme,100m-hommes,Argent,GER,Fritz Hofmann,at 2 metres
athletisme,100m-hommes,Bronze,HUN,Alajos Szokolyi,at 4 metres
athletisme,100m-hommes,Bronze,USA,Francis Lane,at 4 metres
athletisme,100m-hommes,5,GRE,Alexandros Khalkokondylis,at 4 metres
athletisme,100m-hommes,Aucune position,GER,Kurt Doerry,Aucune donnée
athletisme,100m-hommes,Aucune position,GRE,Georgios Gennimatas,Aucune donnée
athletisme,100m-hommes,Aucune position,SWE,Henrik Sjöberg,Aucune donnée
athletisme,100m-hommes,Aucune position,CHI,Luis Subercaseaux,N'a pas débuté
athletisme,100m-hommes,Aucune position,HUN,Leonidasz Manno,N'a pas débuté
athletisme,100m-hommes,Aucune position,FRA,Jean Tournois,N'a pas débuté
athletisme,100m-hommes,Aucune position,GRE,Konstantinos Mouratis,N'a pas débuté
athletisme,100m-hommes,Aucune position,HUN,István Zachar,N'a pas débuté
athletisme,100m-hommes,Aucune position,USA,Ralph Derr,N'a pas débuté
athletisme,100m-hommes,Aucune position,FRA,Louis Adler,N'a pas débuté
athletisme,100m-hommes,Aucune position,GER,Alfred Flatow,N'a pas débuté
athletisme,100m-hommes,Aucune position,SWE,Harald Arbin,N'a pas débuté
athletisme,100m-hommes,Aucune position,FRA,Alexandre Tufferi,N'a pas débuté
athletisme,100m-hommes,Aucune position,HUN,Nandor Dani,N'a pas débuté
athletisme,100m-hommes,Aucune position,USA,Charles Vanoni,N'a pas débuté
athletisme,110m-haies-hommes,Or,USA,Tom Curtis,17.600
athletisme,110m-haies-hommes,Argent,GBR,Grantley Goulding,at 0.05 metres
athletisme,110m-haies-hommes,Aucune position,GRE,Anastasios Andreou,Aucune donnée
athletisme,110m-haies-hommes,Aucune position,HUN,Alajos Szokolyi,Aucune donnée
athletisme,110m-haies-hommes,Aucune position,GER,Kurt Doerry,Aucune donnée
athletisme,110m-haies-hommes,Aucune position,GRE,Athanasios Skaltsogiannis,Aucune donnée
athletisme,110m-haies-hommes,Aucune position,HUN,Pál Péthy,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,GRE,Konstantinos Mouratis,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,USA,Fred Lord,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,GER,Fritz Traun,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,GER,Fritz Hofmann,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,SWE,Harald Arbin,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,SWE,Henrik Sjöberg,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,USA,James Brendan Connolly,N'a pas débuté
athletisme,110m-haies-hommes,Aucune position,USA,Charles Vanoni,N'a pas débuté
athletisme,1500m-hommes,Or,AUS,Edwin Flack,00:04:33.200
athletisme,1500m-hommes,Argent,USA,Arthur Blake,at 2-10 metres
athletisme,1500m-hommes,Bronze,FRA,Albin Lermusiaux,at 6-15 metres
athletisme,1500m-hommes,4,GER,Karl Galle,Aucune donnée
athletisme,1500m-hommes,Aucune position,GRE,Angelos Fetsis,Aucune donnée
athletisme,1500m-hommes,Aucune position,GRE,Dimitrios Golemis,Aucune donnée
athletisme,1500m-hommes,Aucune position,GRE,Konstantinos Karakatsanis,Aucune donnée
athletisme,1500m-hommes,Aucune position,GRE,Dimitri Tombrof,Aucune donnée
athletisme,1500m-hommes,Aucune position,HUN,Gyula Malcsiner,N'a pas débuté
athletisme,1500m-hommes,Aucune position,FRA,Georges De La Néziere,N'a pas débuté
athletisme,1500m-hommes,Aucune position,GBR,George Marshall,N'a pas débuté
athletisme,1500m-hommes,Aucune position,HUN,Nandor Dani,N'a pas débuté
athletisme,400m-hommes,Or,USA,Thomas Burke,54.200
athletisme,400m-hommes,Argent,USA,Herbert Jamison,55.200
athletisme,400m-hommes,Bronze,GBR,Charles Gmelin,at 15-20 metres
athletisme,400m-hommes,4,GER,Fritz Hofmann,Aucune donnée
athletisme,400m-hommes,Aucune position,FRA,Alphonse Grisel,Aucune donnée
athletisme,400m-hommes,Aucune position,GER,Kurt Doerry,Aucune donnée
athletisme,400m-hommes,Aucune position,CHI,Luis Subercaseaux,N'a pas débuté
athletisme,400m-hommes,Aucune position,GRE,Konstantinos Mouratis,N'a pas débuté
athletisme,400m-hommes,Aucune position,HUN,Leonidasz Manno,N'a pas débuté
athletisme,400m-hommes,Aucune position,GER,Fritz Traun,N'a pas débuté
athletisme,400m-hommes,Aucune position,AUS,Edwin Flack,N'a pas débuté
athletisme,400m-hommes,Aucune position,FRA,Georges De La Néziere,N'a pas débuté
athletisme,400m-hommes,Aucune position,GBR,Launceston Elliot,N'a pas débuté
athletisme,400m-hommes,Aucune position,GBR,Grantley Goulding,N'a pas débuté
athletisme,400m-hommes,Aucune position,GBR,George Marshall,N'a pas débuté
athletisme,400m-hommes,Aucune position,HUN,Nandor Dani,N'a pas débuté
athletisme,800m-hommes,Or,AUS,Edwin Flack,00:02:11.000
athletisme,800m-hommes,Argent,HUN,Nandor Dani,00:02:11.800
athletisme,800m-hommes,Bronze,GRE,Dimitrios Golemis,at 20-100 metres
athletisme,800m-hommes,Aucune position,GRE,Dimitri Tombrof,Aucune donnée
athletisme,800m-hommes,Aucune position,GRE,Angelos Fetsis,Aucune donnée
athletisme,800m-hommes,Aucune position,CHI,Luis Subercaseaux,N'a pas débuté
athletisme,800m-hommes,Aucune position,HUN,István Zaborszky,N'a pas débuté
athletisme,800m-hommes,Aucune position,GER,Fritz Hofmann,N'a pas débuté
athletisme,800m-hommes,Aucune position,FRA,Frantz Reichel,N'a pas débuté
athletisme,800m-hommes,Aucune position,GER,Kurt Doerry,N'a pas débuté
athletisme,800m-hommes,Aucune position,USA,Thomas Burke,N'a pas débuté
athletisme,disque-hommes,Or,USA,Bob Garrett,Aucune donnée
athletisme,disque-hommes,Argent,GRE,Panagiotis Paraskevopoulos,Aucune donnée
athletisme,disque-hommes,Bronze,GRE,Sotirios Versis,Aucune donnée
athletisme,disque-hommes,4,GBR,George Stuart Robertson,Aucune donnée
athletisme,disque-hommes,Aucune position,SWE,Henrik Sjöberg,Aucune donnée
athletisme,disque-hommes,Aucune position,GRE,Georgios Papasideris,Aucune donnée
athletisme,disque-hommes,Aucune position,DEN,Holger Nielsen,Aucune donnée
athletisme,disque-hommes,Aucune position,DEN,Viggo Jensen,Aucune donnée
athletisme,disque-hommes,Aucune position,FRA,Alphonse Grisel,Aucune donnée
athletisme,disque-hommes,Aucune position,FRA,Louis Adler,N'a pas débuté
athletisme,disque-hommes,Aucune position,DEN,Charles Winckler,N'a pas débuté
athletisme,disque-hommes,Aucune position,GER,Carl Schuhmann,N'a pas débuté
athletisme,disque-hommes,Aucune position,USA,Charles Vanoni,N'a pas débuté
athletisme,marathon-hommes,Or,GRE,Spyridon Louis,02:58:50.000
athletisme,marathon-hommes,Argent,GRE,Kharilaos Vasilakos,03:06:03.000
athletisme,marathon-hommes,Bronze,HUN,Gyula Kellner,03:06:35.000
athletisme,marathon-hommes,4,GRE,Ioannis Vrettos,Aucune donnée
athletisme,marathon-hommes,5,GRE,Eleftherios Papasymeon,Aucune donnée
athletisme,marathon-hommes,6,GRE,Dimitrios Deligiannis,Aucune donnée
athletisme,marathon-hommes,7,GRE,Evangelos Gerakakis,Aucune donnée
athletisme,marathon-hommes,8,GRE,Stamatios Masouris,Aucune donnée
athletisme,marathon-hommes,9,GRE,Sokratis Lagoudakis,Aucune donnée
athletisme,marathon-hommes,Aucune position,AUS,Edwin Flack,N'a pas terminé
athletisme,marathon-hommes,Aucune position,FRA,Albin Lermusiaux,N'a pas terminé
athletisme,marathon-hommes,Aucune position,GRE,Georgios Lavrentis,N'a pas terminé
athletisme,marathon-hommes,Aucune position,GRE,Georgios Grigoriou,N'a pas terminé
athletisme,marathon-hommes,Aucune position,USA,Arthur Blake,N'a pas terminé
athletisme,marathon-hommes,Aucune position,GRE,Ilias Kafetzis,N'a pas terminé
athletisme,marathon-hommes,Aucune position,GRE,Dimitrios Khristopoulos,N'a pas terminé
athletisme,marathon-hommes,Aucune position,GRE,Spyridon Belokas,Disqualifié
athletisme,marathon-hommes,Aucune position,GRE,Vathis Vathis,N'a pas débuté
athletisme,marathon-hommes,Aucune position,GRE,Vanitakis Vanitakis,N'a pas débuté
athletisme,marathon-hommes,Aucune position,HUN,Gyula Malcsiner,N'a pas débuté
athletisme,marathon-hommes,Aucune position,ITA,Carlo Airoldi,N'a pas débuté
athletisme,marathon-hommes,Aucune position,GER,Karl Galle,N'a pas débuté
athletisme,poids-hommes,Or,USA,Bob Garrett,Aucune donnée
athletisme,poids-hommes,Argent,GRE,Miltiadis Gouskos,Aucune donnée
athletisme,poids-hommes,Bronze,GRE,Georgios Papasideris,Aucune donnée
athletisme,poids-hommes,4,DEN,Viggo Jensen,Aucune donnée
athletisme,poids-hommes,Aucune position,GER,Carl Schuhmann,Aucune donnée
athletisme,poids-hommes,Aucune position,GER,Fritz Hofmann,Aucune donnée
athletisme,poids-hommes,Aucune position,USA,Ellery Clark,Aucune donnée
athletisme,poids-hommes,Aucune position,GER,Conrad Böcker,N'a pas débuté
athletisme,poids-hommes,Aucune position,HUN,Pál Péthy,N'a pas débuté
athletisme,poids-hommes,Aucune position,FRA,Louis Adler,N'a pas débuté
athletisme,poids-hommes,Aucune position,HUN,Momcsillo Tapavicza,N'a pas débuté
athletisme,poids-hommes,Aucune position,GER,Alfred Flatow,N'a pas débuté
athletisme,poids-hommes,Aucune position,GER,Hermann Weingärtner,N'a pas débuté
athletisme,poids-hommes,Aucune position,DEN,Holger Nielsen,N'a pas débuté
athletisme,poids-hommes,Aucune position,FRA,Alphonse Grisel,N'a pas débuté
athletisme,poids-hommes,Aucune position,DEN,Charles Winckler,N'a pas débuté
athletisme,poids-hommes,Aucune position,GBR,George Stuart Robertson,N'a pas débuté
athletisme,poids-hommes,Aucune position,HUN,Dezső Wein,N'a pas débuté
athletisme,poids-hommes,Aucune position,USA,Charles Vanoni,N'a pas débuté
athletisme,saut-en-hauteur-hommes,Or,USA,Ellery Clark,1.81
athletisme,saut-en-hauteur-hommes,Argent,USA,Bob Garrett,1.65
athletisme,saut-en-hauteur-hommes,Argent,USA,James Brendan Connolly,1.65
athletisme,saut-en-hauteur-hommes,4,SWE,Henrik Sjöberg,1.60
athletisme,saut-en-hauteur-hommes,5,GER,Fritz Hofmann,1.55
athletisme,saut-en-hauteur-hommes,Aucune position,GER,Conrad Böcker,N'a pas débuté
athletisme,saut-en-hauteur-hommes,Aucune position,USA,J. Stanley Edwards,N'a pas débuté
athletisme,saut-en-hauteur-hommes,Aucune position,FRA,Louis Adler,N'a pas débuté
athletisme,saut-en-hauteur-hommes,Aucune position,GER,Fritz Traun,N'a pas débuté
